run,trace,n_tokens,mean_kl,median_kl,q90_kl,q95_kl,q99_kl,max_kl,above_005,above_005_rate,above_2,above_2_rate
No-think + no-clip,trace_0020_20387_gen20,695,0.07727323041203103,0.003406921401619911,0.17187733054161072,0.3403541594743721,1.4399713540077184,3.833216905593872,147,0.21151079136690648,5,0.007194244604316547
Clipped,trace_0021_23330_gen21,1024,1.249621463781183,1.4212121963500977,2.282636833190918,2.4432818174362168,3.48474401950836,17.808391571044922,858,0.837890625,253,0.2470703125
No-clip,trace_0021_23330_gen21,1024,0.11357100783734841,0.0011867976281791925,0.1748021557927133,0.320513388514518,1.1913233327865562,21.939775466918945,255,0.2490234375,7,0.0068359375
No-think + no-clip,trace_0021_23330_gen21,238,0.07246250060087249,4.084019565198105e-05,0.13396269083023088,0.3339352577924728,0.7491018503904336,6.135725975036621,42,0.17647058823529413,1,0.004201680672268907
Clipped,trace_0022_27151_gen22,1024,0.13655596826625152,0.018781010061502457,0.26553020477294936,0.42982996702194215,1.1042076659202564,21.027612686157227,425,0.4150390625,3,0.0029296875
No-clip,trace_0022_27151_gen22,1024,0.11793606341957687,0.003655049600638449,0.1649049058556558,0.33353875726461335,2.2005537295341457,20.17165184020996,232,0.2265625,12,0.01171875
No-think + no-clip,trace_0022_27151_gen22,1024,0.037572628265489044,6.706258136546239e-05,0.07106709331274041,0.18149257749319045,0.6316984522342671,2.283921241760254,134,0.130859375,1,0.0009765625
Clipped,trace_0023_14283_gen23,1024,0.11317142536290734,5.981924186926335e-05,0.2979479879140855,0.43305940479039967,1.196542867422104,17.867473602294922,286,0.279296875,3,0.0029296875
No-clip,trace_0023_14283_gen23,1024,0.10314613929944952,0.0016466575907543302,0.12844222187995916,0.2627196252346029,1.128777337074278,20.60694694519043,222,0.216796875,9,0.0087890625
No-think + no-clip,trace_0023_14283_gen23,1024,0.03275825289586119,1.4945335351512767e-05,0.05678864791989327,0.13716705143451646,0.5513306498527518,4.318156719207764,113,0.1103515625,2,0.001953125
